name,DMS - Bo,DMS - Bombali,DMS - Bonthe,DMS - Kailahun,DMS - Kambia,DMS - Kenema,DMS - Koinadugu,DMS - Kono,DMS - Moyamba,DMS - Port Loko,DMS - Pujehun,DMS - Tonkolili,DMS - Western Area,DMS - Falaba,DMS - Karene,Hosp - Bo,Hosp - Bombali Makeni,Hosp - Bombali Kamakwie,Hosp - Bonthe,Hosp - Bonthe Mattru,Hosp - Kailahun,Hosp - Kailahun Nixon,Hosp - Kambia,Hosp - Kenema,Hosp - Kenema Panguma,Hosp - Koinadugu Kabala,Hosp - Kono Koidu,Hosp - Moyamba,Hosp - Port Loko,Hosp - Port Loko Lungi,Hosp - Pujehun,Hosp - Tonkolili Magburaka,Hosp - Tonkolili Masanga,Hosp - 34 Military,Hosp - Connaught,Hosp - Emergency,Hosp - Kingharman,Hosp - Lumley,Hosp - Macauley St,Hosp - Ola During,Hosp - PCMH,Hosp - Rokupa,Hosp - Lakka,Hosp - Sierra Leone Psychiatric,product
" Albendazole 400mg, Tab ",49100,32000,32400,34500,27800,51100,18700,38600,34300,39900,34900,42300,41100,17400,19600,4100,0,0,3000,3000,3900,3900,8400,4200,4200,7100,0,8300,5100,5100,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" Amoxicillin 250mg, Dispersible, Tab ",202200,128100,121900,103700,116700,198800,90300,162700,75300,154200,141800,163900,191800,65800,90200,45000,0,0,5000,5000,16400,16400,104100,45700,45700,22700,0,30600,3500,3500,17600,0,0,0,0,0,0,0,0,0,0,0,0,0,
" Ampicillin 500mg, Pdr for IM/IV, Inj, Vial ",600,6500,2100,100,6500,28700,4200,4100,24500,8300,3100,600,26200,3600,18600,10200,0,0,0,0,0,0,0,8100,8100,0,0,23300,500,500,1700,0,0,0,0,0,0,0,0,0,0,0,0,0,3
" Apron, Plastic, Disposable, Pcs ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,5000,0,0,0,0,0,0,0,0,0,4
" Atracurium 10mg/ml, Inj, Amp ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,0,
" Azithromycin 250mg, Tab ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,
" Bags, Blood, Collecting, 450ml, Pcs ",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
" Cannula, IV, 18G, Short, Sterile, Disposable, Pcs ",4300,2350,2400,2550,2050,3800,1400,2850,3200,2950,2600,3150,3050,1300,1700,1300,0,0,0,0,2100,,4000,4850,4850,3400,0,4000,4000,4000,4000,0,0,0,0,0,0,,0,0,0,0,0,0,13
" Cannula, IV, 24G, Short, Sterile, Disposable, Pcs ",6350,3500,5750,6250,3100,5400,2100,4400,6300,6100,9250,6400,5600,1900,2550,1300,0,950,0,1550,1200,100,4550,2000,0,0,0,1650,1550,800,2300,400,1850,1400,800,0,450,0,1700,0,10350,950,150,0,15
" Catheter, Foley Balloon, 10FR/CH, 2-Way, 3-5ml, Sterile, Pcs ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320,0,0,100,100,0,0,3000,530,530,370,0,440,440,440,440,0,0,0,0,0,0,0,0,0,0,0,0,0,
" Catheter, Foley Balloon, 12FR/CH, 2-Way, 5-10ml, Sterile, Pcs ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,0,0,200,200,0,0,3490,570,570,400,0,470,470,470,470,0,0,0,0,0,0,0,0,0,0,0,0,0,
" Chlorhexidine Gluconate 5%, Solution, 1000ml, Bot ",103,107,35,395,24,322,177,52,0,334,196,384,1436,9,618,81,0,0,81,81,81,81,81,202,202,79,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,
" Chlorhexidine Gluconate 7.1%, Gel ",462,173,628,355,551,1182,3358,270,607,488,1264,665,5099,66,405,1576,0,0,0,0,200,200,350,181,181,1591,0,22,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,20
" Chlorpheniramine 4mg, Tab ",6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,,4000,4000,4000,,4000,4000,4000,,
" Clotrimazole 1%, Cream, 30g, Tube ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,5,5,6,6,11,14,14,9,0,11,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,
" Compound Sodium (Ringer's) Lactate 0.25%, Infusion, 500ml, Soft Bag ",1720,4300,1420,3040,2780,6140,9880,2480,2140,12360,2860,2760,11400,400,5040,2280,0,0,120,120,820,820,7040,5200,5200,1860,0,920,0,0,320,0,0,0,0,0,0,0,0,0,0,0,0,0,
" Dexamethasone 4mg/ml, Inj, 1ml, Amp ",0,0,200,0,100,150,350,0,600,1750,250,0,3300,0,100,350,0,0,2500,2500,250,250,600,450,450,150,0,550,200,200,200,0,0,0,0,0,0,0,0,0,0,0,0,0,
" Epinephrine HCl (Adrenaline) 1mg/ml, Inj, 1ml, Amp ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1340,0,0,100,100,880,880,1340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
" Folic Acid 5mg, Tab ",150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,60000,60000,,60000,60000,60000,,100000,60000,60000,,31
" Gentamicin 10mg/ml, 2ml, Inj ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,650,300,0,0,0,0,0,0,200,150,0,0,0,0,0,0,0,0,0,450,0,0,0,0,400,750,0,0,,
" Gentamicin 40mg/ml, Inj, 2ml, Amp ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,500,500,500,500,500,500,500,450,450,450,450,
" Glove, Exam, Latex, Large, Nonsterile, Disposable, Pcs ",10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,
" Glove, Exam, Latex, Medium, Nonsterile, Disposable, Pcs ",30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,16000,16000,16000,16000,16000,16000,16000,16000,16000,16000,16000,16000,16000,16000,16000,16000,16000,16000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,32
" Glove, Exam, Latex, Small, Nonsterile, Disposable, Pcs ",5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,
" Glove, Surgical, Size 8, Sterile, Disposable, Pair ",,,,,,,,,,,,,,,,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,0,
" Hydrocortisone Sodium Succinate 100mg, Pdr for Inj, 2ml, Vial ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,50,50,50,50,100,120,120,80,0,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,
" Ibuprofen 200mg, Tab ",2100,9600,6000,3300,6100,4200,9300,7700,1800,10000,7700,4900,15200,5600,11200,0,0,0,0,0,0,0,0,3500,3500,0,0,0,100,100,200,0,0,0,0,0,0,0,0,0,0,0,0,0,
" IV Giving Set, Pcs ",4100,4500,3200,4450,3300,7200,2625,4200,6075,5625,4900,1100,5800,1225,3275,2000,0,0,650,650,0,0,1325,1600,1600,1125,0,1325,0,0,875,0,0,0,0,0,0,0,0,0,0,0,0,0,38
" Magnesium Sulphate 50%, Inj, 10ml, Amp ",750,430,410,700,280,660,220,470,350,460,400,500,600,60,300,160,0,0,50,50,50,50,100,130,130,0,0,0,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,
" Methyldopa 250mg, Tab ",32000,17600,11200,15900,15300,28100,10300,21200,12800,21900,19200,23300,22600,7700,12800,5600,0,0,1800,1800,1900,1900,3700,4500,4500,3100,0,0,2700,2700,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,45
" Metoclopramide HCl 10mg, Tab ",10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,46
" Metronidazole 250mg, Tab ",99000,129000,60000,58000,97000,46000,98000,139000,56000,441000,120000,123000,228000,44000,79000,18000,0,0,9000,9000,15000,15000,23000,7000,7000,5000,0,22000,7000,7000,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,48
" Misoprostol 200mcg, Tab ",436,328,128,6916,240,864,4124,456,3112,12808,196,168,2144,12,552,40,0,0,32,32,144,144,72,44,44,180,0,276,12,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,50
" Morphine Sulphate 10mg/ml, Inj, 2ml, Amp ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245,0,0,100,100,460,460,300,180,180,125,0,150,150,150,150,0,0,0,0,0,0,0,0,0,0,0,0,0,
" Needle, Hypodermic, Luer, 23G, Sterile, Disposable, Pcs ",0,2100,200,3400,12000,10900,800,1100,0,1100,28500,200,16100,400,1400,200,0,0,10000,10000,14100,14100,43500,3600,3600,0,0,0,0,0,4600,0,0,0,,0,0,0,0,0,0,0,0,0,
" Needle, Spinal, 90mm, 22G, Pcs ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,0,200,200,0,0,
" Oral Rehydration Salts (ORS), Sachet ",42800,29300,18300,21900,21000,47400,22800,22800,33900,32500,23800,36800,29600,12800,14800,27900,0,0,2900,2900,1800,1800,5300,1600,1600,4200,0,7100,2600,2600,1100,0,0,0,0,0,0,0,0,0,0,0,0,0,58
" Oxytocin 10IU, Inj, Amp ",2670,8280,2380,5340,2540,7970,2130,9610,2670,8620,3430,2730,12080,350,4790,0,0,0,0,0,550,550,980,1370,1370,0,0,1240,420,420,470,0,0,0,0,0,0,0,0,0,0,0,0,0,59
" Paracetamol (Acetaminophen) 250mg, Dispersible, Tab ",186300,219200,136100,35100,184800,289200,177200,126900,118400,437900,259300,133300,433600,87200,156900,20000,0,0,5000,5000,25000,25000,50000,51600,51600,34400,0,32700,19600,19600,13200,0,0,0,0,0,0,0,0,0,0,0,0,0,60
" Salbutamol 100mcg/dose, Aerosol, Inhaler ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,68
" Silver Sulphadiazine 1%, Cream, 50g, Tube ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
" Sodium Chloride (Normal Saline) 0.9%, IV Inj, 500ml, Bot ",4960,4960,2260,4720,1640,8740,2040,2200,940,3800,3040,2620,20300,320,2620,1880,0,0,500,500,1220,1220,12980,4140,4140,520,0,0,780,780,560,0,0,0,0,0,0,0,0,,,0,0,0,
" Syringe, Luer, 10ml, Disposable, Pcs ",5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,
" Syringe, Luer, 20ml, Disposable, Pcs ",5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,76
" Syringe, Luer, 2ml, Disposable, Pcs ",5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,77
" Syringe, Luer, 5ml, Disposable, Pcs ",5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,
" Thiopental Sodium 500mg, Pdr for Inj, Vial ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154,0,0,100,100,300,300,300,125,125,87,0,103,103,103,103,0,0,0,0,0,0,0,0,0,0,0,0,0,
" Vitamin K (Phytomenadione) 10mg/ml, Inj ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,,
" Zinc Sulphate 20mg, Dispersible, Tab ",50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,
" Box, Double-wall Carton, 60x40x25cm, Pcs ",560,308,312,332,268,492,180,372,416,384,336,408,396,168,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
" (Syringe, AutoDestruct, SoloShot) ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
" Condom, Female ",1000,0,0,1000,0,3000,0,1000,0,1000,1000,1000,2000,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
" Condom, Male ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Copper-Containing Device (Copper T or Copper 7 or IUD),,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
" Depot Medroxyprogestrone Acetate (Depo-Provera) 150mg/ml, Pdr for Inj ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
" Implant (Jadelle) 150mg, One or Two Rod ",6000,1000,2000,1000,2000,0,3000,3000,6000,2000,3000,6000,10000,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,0,0,0,0,0,0,0,0,0,0,0,0,0,
" Implant (Levoplant), Two Rod ",2000,2000,1000,1000,1000,3000,1000,1000,1000,2000,1000,1000,4000,1000,1000,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,
" Trocar, Contraceptive Implant ",2000,2000,1000,1000,1000,3000,1000,1000,1000,2000,1000,1000,4000,1000,1000,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,
" Ethinylestradiol& Levonorgestrel& Ferrous Fumerate (Zinnia-F), 30mcg&150mcg&75mg ",3024,3024,2016,2016,2016,4032,2016,3024,2016,3024,2016,2016,4032,2016,2016,150,0,0,0,0,0,0,0,180,180,0,0,120,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,
" Levonorgestrel (Emergency Contraceptive) 0.75 2tabs/1.5mg, Tab ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
" Progesterone-Only (Levonorgestrel & Microlut) 30mcg, Tab, Cycle ",3600,2880,0,2160,0,2880,1440,3600,2880,2160,2880,2880,5760,1440,1440,0,0,0,900,900,0,0,0,,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
" Catheter, Foley Balloon, 18FR/CH, 2-Way, 10ml, Sterile, Pcs ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290,0,0,90,90,100,100,190,230,230,160,0,190,190,190,190,0,0,0,0,0,0,0,0,0,0,0,0,0,
" Gauze, Paraffin, 10cm x 10cm, Sterile, Pcs ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,
" Glove, Surgical, Size 7, Sterile, Disposable, Pair ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,,
" Mebendazole 100mg, Tab ",6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,,4000,4000,4000,4000,4000,4000,4000,,
" Suture, Synth abs (polyglycolic acid), 20, 75cm, 1/2 circle 30mm roundbodied nee ",0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,,1800,1800,1800,,
" Gentamycin 80mg/2ml, Inj ",2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,,500,500,500,,
" Gauze, Compress, 10cm x 10cm, Roll ",3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,
" Tube, Feeding (Nasogastric, NG), 12FG, Disposable ",,,,,,,,,,,,,,0,0,4000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,
